word,value
Trump,54
Ukraine,40
Fiorina,27
political,24
America,22
campaign,19
speech,18
international,17
Republican,16
security,15
English-language,14
presidential,14
years,13
former,13
world,12
Russian,12
American,12
Donald,12
order,12
police,11
countrys,11
policy,11
state,11
Clinton,11
Obama,11
