,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text85,text85,145,242,7,5/2/2016,gaming,http://indiegames.com/2016/05/find_a_samurai_masters_story_i.html,Find a Samurai Master's Story in Your Wanderings Across the Peaceful World of Niten,10,0,4,0,2,2,2,3,21
text12,text12,174,286,6,5/2/2016,gaming,http://toucharcade.com/2016/05/02/mucho-taco-cinco-de-mayo-update/,Huge 'Mucho Taco' Version 2.0 Update Arriving on Cinco de Mayo,11,1,4,0,5,0,0,3,3
text16,text16,208,413,10,5/2/2016,gaming,http://feedproxy.google.com/~r/GamasutraFeatureArticles/~3/6xkfNv9JB9Y/Nintendo_NX_hardware_will_not_sell_at_a_loss.php,Nintendo NX hardware will not sell at a loss,11,2,8,2,2,1,3,7,4
text66,text66,214,408,5,5/2/2016,gaming,http://www.eurogamer.net/articles/2016-05-02-uncharted-4s-multiplayer-content-will-all-be-unlockable-for-free,Uncharted 4's multiplayer content will all be unlockable for free,11,3,8,3,8,7,4,7,6
text68,text68,165,306,7,5/2/2016,gaming,http://www.polygon.com/2016/5/2/11571884/must-craft-hearthstone-legendary-cards-best-guide-blizzard-pc-ios-mac-android,The Hearthstone legendary cards you must craft ASAP,11,0,4,1,1,1,1,0,12
text18,text18,143,277,5,5/2/2016,gaming,http://feedproxy.google.com/~r/GamasutraFeatureArticles/~3/_171-wb9GRs/The_Chinese_mobile_game_market_is_shifting_toward_core_titles.php,The Chinese mobile game market is shifting toward core titles,13,0,6,0,2,1,0,5,7
text82,text82,466,990,27,4/29/2016,gaming,http://indiegames.com/2016/04/trailer_roundup_for_april_29_1.html,"Trailer Roundup for April 29, 2016",13,14,15,7,11,22,15,19,1
text31,text31,142,256,4,5/2/2016,gaming,http://feedproxy.google.com/~r/MajorNelson/~3/TVGfAmOLYEo/,Call of Duty: Infinite Warfare Is Now Available For Digital Pre-order On Xbox One,14,2,3,0,4,4,1,2,5
text51,text51,323,743,17,4/5/2016,gaming,http://www.pcgamer.com/duelyst-leaving-open-beta-later-this-month/,Duelyst leaving open beta later this month,14,2,10,2,5,6,3,10,8
text50,text50,377,778,30,4/5/2016,gaming,http://www.pcgamer.com/quantum-break-port-impressions/,Quantum Break port impressions,15,5,11,3,4,7,5,12,2
text69,text69,152,249,8,5/2/2016,gaming,http://www.polygon.com/2016/5/2/11569800/bioware-goose-cam-final-video,Watch the heart-pounding conclusion to BioWare's Goose Cam,15,0,6,0,7,2,0,8,13
text24,text24,98,152,5,5/2/2016,gaming,http://feeds.gawker.com/~r/kotaku/vip/~3/qZ6KCcNEQwU/dark-souls-player-shouldnt-have-gloated-1774333460,Dark Souls Player Shouldn't Have Gloated,16,0,3,0,4,0,1,2,8
text46,text46,227,390,9,4/5/2016,gaming,http://www.pcgamer.com/dota-2-vr-spectator-mode/,Valve shows new Dota 2 VR spectator mode,16,1,11,1,6,2,1,6,8
text11,text11,122,187,7,5/3/2016,gaming,http://toucharcade.com/2016/05/02/squids-inc-is-a-fantastic-looking-underwater-action-game-that-needs-beta-testers/,'Squids Inc' is a Fantastic-Looking Underwater Action Game That Needs Beta Testers,17,3,3,0,1,4,0,5,1
text60,text60,334,639,15,4/5/2016,gaming,http://www.pcgamer.com/gtc-2016-gpus-can-do-more-than-gaming/,GTC 2016: GPUs can do more than gaming,21,3,12,3,7,4,3,9,4
text17,text17,128,218,4,5/2/2016,gaming,http://feedproxy.google.com/~r/GamasutraFeatureArticles/~3/YC-b15xXezM/Microsoft_moves_to_boost_indie_devs_with_monthlong_IDXbox_promo.php,Microsoft moves to boost indie devs with month-long ID@Xbox promo,22,1,4,0,3,2,2,5,4
text36,text36,532,1406,43,4/26/2016,gaming,https://tagn.wordpress.com/2016/04/26/will-nostalrius-drama-shift-the-sleeping-wow-giant/,Will Nostalrius Drama Shift the Sleeping WoW Giant?,22,11,24,7,12,9,8,22,2
text38,text38,554,1501,42,4/28/2016,gaming,https://tagn.wordpress.com/2016/04/28/bb74-bump-and-grind/,BB74  Bump and Grind,24,11,14,2,8,16,11,13,3
text43,text43,478,1173,26,4/5/2016,gaming,http://www.pcgamer.com/hand-of-fate-2-doubles-down-on-the-originals-cool-concept/,Hand of Fate 2 doubles down on the originals cool concept,25,15,22,7,13,18,14,17,2
text55,text55,549,1186,34,4/5/2016,gaming,http://www.pcgamer.com/7-stunning-vr-experiences-you-dont-want-to-miss-on-htc-vive/,7 stunning VR experiences you dont want to miss on HTC Vive,28,6,19,6,13,11,5,26,3
text20,text20,310,656,18,5/2/2016,gaming,http://feedproxy.google.com/~r/SCEEBlog/~3/TFpxTtozDpE/,Call of Duty: Infinite Warfare launches 4th November on PS4,29,7,17,2,14,8,5,18,1
text29,text29,304,629,18,5/2/2016,gaming,http://feedproxy.google.com/~r/PSBlog/~3/PVXQOPYvYTo/,Call of Duty: Infinite Warfare Launches November 4 on PS4,29,7,17,2,14,8,5,18,2
text39,text39,442,1058,36,4/29/2016,gaming,https://tagn.wordpress.com/2016/04/29/friday-bullet-points-from-beyond-the-blog/,Friday Bullet Points from Beyond the Blog,33,2,11,2,8,4,8,17,6
text44,text44,669,2192,74,4/5/2016,gaming,http://www.pcgamer.com/improve-your-support-play-in-counter-strike-global-offensive/,Improve your support play in Counter-Strike: Global Offensive,57,13,31,5,15,14,12,25,3
text19,text19,553,1819,51,5/2/2016,gaming,http://feedproxy.google.com/~r/SCEEBlog/~3/hbYWaI9heUo/,Everything you need to know about Uncharted 4 multiplayer,58,11,27,7,22,11,9,33,1
text28,text28,547,1578,51,5/2/2016,gaming,http://feedproxy.google.com/~r/PSBlog/~3/kQatq_jBTDE/,Uncharted 4 Multiplayer Guide,58,13,27,7,22,12,10,33,1
text9,text9,610,1898,41,5/2/2016,gaming,http://toucharcade.com/2016/05/02/fallen-london-review/,"'Fallen London' Review - An Artfully-Made, Wonderfully-Weird Labyrinth of Stories",66,6,32,5,27,10,11,37,1
