,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text88,63,text88,393,958,38,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/g2z9s8ELdpk/7-ways-to-inspire-a-virtual-outsourced-team.html,"7 Ways to Inspire a Virtual, Outsourced Team",33,3,23,2,13,3,5,18,2
text90,64,text90,407,1058,33,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/QwzrZ24UeOo/ask-the-right-customer-feedback-questions-to-shape-your-products-future.html,Ask the Right Customer Feedback Questions to Shape Your Product's Future,25,6,14,1,7,10,5,13,1
text91,65,text91,285,540,19,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/kqaEakLTxgc/3-robots-every-startup-should-know-about.html,3 Robots Every Startup Should Know About,16,1,13,0,9,4,2,11,2
text92,66,text92,490,1244,36,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/743HjDnb2ww/14-fun-ways-to-bolster-your-energy.html,14 Fun Ways To Bolster Your Energy,53,7,25,4,31,9,13,23,1
text93,67,text93,323,656,26,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/ZaUFbnGY35E/heres-the-little-known-sales-genius-who-changed-your-life.html,Here's the Little Known Sales Genius Who Changed Your Life,14,6,5,5,5,6,6,9,3
text94,68,text94,393,888,35,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/a4i0ZIbJJqE/how-to-avoid-the-dinner-party-gone-terribly-wrong-approach-to-fast-growth.html,How to Avoid the Dinner Party Gone Terribly Wrong Approach to Fast Growth,36,1,21,0,15,6,3,19,1
text95,69,text95,396,955,32,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/amwzj_wnXXU/you-can-craft-your-life.html,You Can Craft Your Life!!,27,9,22,6,16,9,8,16,1
text96,70,text96,447,1099,47,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/chk9jQM1ORE/what-you-can-learn-from-the-minnows-who-just-conquered-english-soccer.html,"6 Things You Can Learn From Leicester City, the Unlikely New Kings of Soccer",31,3,18,4,12,6,8,16,3
text97,71,text97,399,1106,30,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/UOUmerQUViw/3-questions-that-all-great-sales-messages-answer.html,3 Questions That All Great Sales Messages Answer,16,1,7,1,6,4,3,10,3
text98,72,text98,366,791,9,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/pcXFTp8Xy9w/6-types-of-government-apps-that-can-make-your-life-better.html,6 Types of Government Apps That Can Make Your Life Better,20,4,18,3,6,8,7,15,1
text99,73,text99,599,1414,37,5/2/2016,business,http://feeds.inc.com/~r/home/updates/~3/KeyNk0DvYC4/5-email-newsletters-that-are-better-than-a-harvard-mba.html,5 Email Newsletters that are Better than a Harvard MBA,49,9,25,3,11,8,6,13,1
text100,74,text100,203,435,8,2/22/2016,business,http://andrewchen.co/uber-growth-happy-hour/,Uber Growth Happy Hour  March 8th,14,3,5,2,3,2,3,6,4
