,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
text75,75,text75,173,298,8,5/2/2016,sports,http://bleacherreport.com/articles/2637475-devin-mesoraco-injury-updates-on-reds-catchers-shoulder-and-return,Devin Mesoraco Injury: Updates on Reds Catcher's Shoulder and Return,-8,4,4,3,3,6,6,6
text76,76,text76,117,199,3,5/2/2016,sports,http://bleacherreport.com/articles/2637478-capitals-vs-penguins-game-3-live-score-highlights-for-2016-nhl-playoffs,"Capitals vs. Penguins: Game 3 Live Score, Highlights for 2016 NHL Playoffs",13,1,4,3,1,2,1,3
text77,77,text77,209,358,7,5/2/2016,sports,http://bleacherreport.com/articles/2636879-chelsea-vs-tottenham-winners-and-losers-from-premier-league,Chelsea vs. Tottenham: Winners and Losers from Premier League,-11,4,4,3,2,5,7,5
text78,78,text78,477,1022,20,5/2/2016,sports,http://www.theguardian.com/football/blog/2016/may/03/tottenham-hotspur-lose-control-mousa-dembele-gouge,Tottenham lose title hopes and all control in draw with Chelsea,18,16,22,8,13,14,6,18
text79,79,text79,28,32,1,5/2/2016,sports,http://www.theguardian.com/football/gallery/2016/may/02/leicester-city-players-party-at-jamie-vardys-house-as-the-foxes-win-the-premier-league-in-pictures,Jamie Vardy hosts party as Leicester City triumph  in pictures,-1,1,1,1,1,1,1,2
text80,80,text80,346,667,17,5/2/2016,sports,http://www.theguardian.com/football/2016/may/02/how-leicester-citys-triumph-compares-with-other-title-winners,How Leicester City's triumph compares with other title winners,22,7,14,2,12,7,8,17
text81,81,text81,0,0,0,5/2/2016,sports,http://www.theguardian.com/football/2016/may/02/leicester-city-not-buying-marquee-signing-meant-players-felt-trusted,I predicted Leicester City could win a cup. Everybody thought I was insane | Serge Pizzorno,0,0,0,0,0,0,0,0
text82,82,text82,296,666,18,5/2/2016,sports,http://www.theguardian.com/football/2016/may/02/claudio-ranieri-thanks-guus-hiddink-chelsea,Claudio Ranieri thanks Guus Hiddink and Chelsea in emotional phone call,28,9,8,4,9,10,4,13
text83,83,text83,232,417,7,5/2/2016,sports,http://www.theguardian.com/football/2016/may/02/bookmakers-record-payout-leicester-city-win-premier-league,Bookmakers face record payouts after Leicester City win Premier League,17,4,7,2,7,3,2,11
text84,84,text84,54,72,8,5/2/2016,sports,http://www.theguardian.com/football/video/2016/may/02/championes-leicester-city-players-celebrate-premier-league-win-video,'Champions!' Leicester City players celebrate Premier League win video,7,0,3,0,1,1,0,2
text85,85,text85,398,873,26,5/2/2016,sports,http://www.theguardian.com/football/blog/2016/may/03/chelsea-tottenham-talking-points-leicester-win-title,Chelsea 2-2 Tottenham: five talking points as Leicester win title | James Riach,-3,15,15,8,11,14,16,18
text86,86,text86,381,932,32,5/2/2016,sports,http://www.theguardian.com/football/2016/may/03/claudio-ranieri-leicester-champions-jamie-vardy,Proud Claudio Ranieri says Leicester players deserve to be champions,63,4,17,2,17,4,4,23
text87,87,text87,315,684,27,5/2/2016,sports,http://www.theguardian.com/football/2016/may/03/mauricio-pochettino-tottenham-chelsea-fighting-stamford-bridge,Mauricio Pochettino: It was a derby and we were fighting,2,16,11,7,10,11,8,12
