word,value
percent,76
Russia,75
government,70
Merah,67
country,63
French,62
political,62
years,60
China,60
state,60
South,60
economic,59
million,56
North,52
Obama,51
Brazil,48
including,47
security,46
prison,44
international,43
United,42
health,41
regime,39
according,38
military,37
