word,value
Trump,628
Indiana,310
government,291
campaign,284
Clinton,280
police,226
Obama,225
Sanders,222
public,220
Republican,218
million,212
Twitter,208
including,206
world,202
school,202
Facebook,191
American,191
April,184
right,183
Leicester,182
country,172
support,170
family,166
Donald,166
political,164
