,country,count,lat,log
164,Tunisia,97,34.0,9.0
165,Turkey,140,37.0594,37.3825
166,UK,9,54.0,-2.0
167,Ukraine,90,49.0,32.0
168,United States,624,13.4586,144.787
169,Urmul:Afghanistan,2,35.4222,71.3264
170,Uruguay,8,-33.0,-56.0
171,Uzbekistan,2,41.0,64.0
172,Valletta:Malta,2,35.8997,14.5147
173,Vatican,10,41.9,12.45
174,Venezuela,10,7.68389,-72.3631
175,Venice:Italy,2,45.4386,12.3267
176,Villabruna:Italy,4,46.0667,11.9333
177,Virginia:United States,2,33.4089,-87.0506
178,Wales,8,54.0,-2.0
179,Washington:United States,4,33.7739,-93.6825
180,Wexford:Ireland,4,52.3342,-6.4575
181,Yemen,69,15.0,48.0
182,Zimbabwe,8,-20.0,30.0
